model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
patchtst,42.0,CO,6,941.0352172851562,557.2182006835938,0.47497470309306666,49.341033935546875,4238
patchtst,42.0,CO,24,1172.6492919921875,725.4808349609375,0.24870596443829784,56.05099105834961,4265
patchtst,42.0,CO,72,1238.1988525390625,793.7528076171875,0.1592306076475659,58.301116943359375,4264
patchtst,42.0,SO2,6,15.002104759216309,10.23861312866211,-0.3785365938988414,118.15121459960938,3414
patchtst,42.0,SO2,24,13.64143180847168,9.605809211730957,-0.0024606588083413428,88.84937286376953,3453
patchtst,42.0,SO2,72,13.92611026763916,10.174798965454102,-0.06678969046127059,93.55313873291016,3452
patchtst,43.0,PM2.5,6,59.537147521972656,37.83214569091797,0.4695591818322433,69.28191375732422,4282
patchtst,43.0,PM2.5,24,78.51432037353516,54.8210563659668,0.23664935486095617,68.6567153930664,4295
patchtst,43.0,PM2.5,72,85.62872314453125,62.100341796875,0.0888448455127423,75.58325958251953,4294
patchtst,43.0,PM10,6,69.70182037353516,44.0984992980957,0.41703767798765246,62.144325256347656,4295
patchtst,43.0,PM10,24,95.51677703857422,65.29859161376953,0.16463128251168324,60.58347702026367,4310
patchtst,43.0,PM10,72,101.40904998779297,69.6996841430664,0.05816838711761696,64.9006576538086,4309
patchtst,43.0,NO2,6,25.31540870666504,19.62904167175293,0.38687416913312656,47.49933624267578,4083
patchtst,43.0,NO2,24,32.20233917236328,24.826902389526367,0.26259413716084323,48.93008041381836,4295
patchtst,43.0,NO2,72,34.48663330078125,27.472400665283203,0.14339672486409516,52.83122634887695,4294
patchtst,43.0,O3,6,25.687570571899414,19.37118911743164,0.21318289054764894,89.23340606689453,4211
patchtst,43.0,O3,24,36.946693420410156,27.837984085083008,0.21844906549136034,90.61148071289062,4238
patchtst,43.0,O3,72,37.018768310546875,28.209009170532227,0.21400385746441564,84.00230407714844,4237
patchtst,43.0,CO,6,944.1863403320312,573.6703491210938,0.4714526903252466,48.9001350402832,4238
patchtst,43.0,CO,24,1147.525634765625,750.2862548828125,0.280553547286318,55.52950668334961,4265
