candidate,seed,horizon,RMSE,MAE
validation_h6_rrelu_d32_a1000_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d32_a1000_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d32_a1000_g2,43,6,65.79332733154297,32.3565559387207
validation_h6_rrelu_d32_a1000_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d32_a1000_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d32_a1000_g2,44,6,66.72964477539062,33.80369567871094
validation_h6_rrelu_d32_a1000_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d32_a1000_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d64_a10_g0,42,6,67.06499481201172,33.83717727661133
validation_h6_rrelu_d64_a10_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d64_a10_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d64_a10_g0,43,6,67.2772216796875,34.0349235534668
validation_h6_rrelu_d64_a10_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d64_a10_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d64_a10_g0,44,6,68.98991394042969,35.44567108154297
validation_h6_rrelu_d64_a10_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d64_a10_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d64_a10_g2,42,6,66.41426086425781,33.590553283691406
validation_h6_rrelu_d64_a10_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d64_a10_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d64_a10_g2,43,6,67.56739807128906,34.603511810302734
validation_h6_rrelu_d64_a10_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d64_a10_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d64_a10_g2,44,6,68.68331909179688,34.78902053833008
validation_h6_rrelu_d64_a10_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d64_a10_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d64_a100_g0,42,6,67.13862609863281,33.03059768676758
validation_h6_rrelu_d64_a100_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d64_a100_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d64_a100_g0,43,6,66.32232666015625,32.72711944580078
validation_h6_rrelu_d64_a100_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d64_a100_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d64_a100_g0,44,6,67.56291961669922,34.856849670410156
validation_h6_rrelu_d64_a100_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d64_a100_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d64_a100_g2,42,6,66.55888366699219,32.91413497924805
validation_h6_rrelu_d64_a100_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d64_a100_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d64_a100_g2,43,6,66.26129150390625,32.85558319091797
validation_h6_rrelu_d64_a100_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d64_a100_g2,43,72,77.7647476196289,45.917911529541016
