model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
gru,42.0,CO,72,2.521244764328003,1.1137561798095703,0.10088996429686148,47.57415008544922,4021.0
gru,42.0,SO2,6,24.61323356628418,4.7513298988342285,0.11742227798899396,57.05794143676758,3871.0
gru,42.0,SO2,24,25.538400650024414,6.2078118324279785,0.06416814064491971,60.89069747924805,3948.0
gru,42.0,SO2,72,26.4403076171875,6.6146135330200195,0.027765956220148658,63.55911636352539,3950.0
gru,43.0,PM2.5,6,68.3500747680664,35.417701721191406,0.44408837645271526,46.561031341552734,4459.0
gru,43.0,PM2.5,24,76.2718734741211,42.06875991821289,0.45058153860095373,44.66284942626953,4569.0
gru,43.0,PM2.5,72,79.38858032226562,46.310752868652344,0.405211654858987,49.159122467041016,4566.0
gru,43.0,PM10,6,83.96976470947266,49.68865203857422,0.5120713113230702,47.00183868408203,3707.0
gru,43.0,PM10,24,108.71356964111328,71.65074920654297,0.5328025737496673,44.81078338623047,3807.0
gru,43.0,PM10,72,119.38125610351562,79.16607666015625,0.43790907976658144,48.40829849243164,3797.0
gru,43.0,NO2,6,13.683503150939941,4.87056303024292,0.6139499507973544,74.3790054321289,3702.0
gru,43.0,NO2,24,15.88811206817627,6.240931510925293,0.5810898466877916,74.74518585205078,3819.0
gru,43.0,NO2,72,16.95452117919922,6.998111724853516,0.5145558313747443,81.52849578857422,3817.0
gru,43.0,O3,6,13.258127212524414,6.660142421722412,0.43076989758268214,70.25537872314453,3633.0
gru,43.0,O3,24,16.05196762084961,7.855040073394775,0.2917655208643728,70.66295623779297,3639.0
gru,43.0,O3,72,17.020841598510742,8.641578674316406,0.18938121765567517,73.970947265625,3633.0
gru,43.0,CO,6,2.241154670715332,0.8947274684906006,0.31299797302419907,44.78275680541992,3950.0
gru,43.0,CO,24,2.3330328464508057,1.005136251449585,0.24465636117469702,43.05516815185547,4017.0
gru,43.0,CO,72,2.4673521518707275,1.07029390335083,0.13891686074827847,46.105873107910156,4021.0
gru,43.0,SO2,6,24.795806884765625,4.805527210235596,0.10428040290572649,60.35304641723633,3871.0
gru,43.0,SO2,24,25.739723205566406,6.25429105758667,0.049355397440779436,59.71867370605469,3948.0
gru,43.0,SO2,72,26.421390533447266,6.839669704437256,0.029156670176605726,65.81599426269531,3950.0
gru,44.0,PM2.5,6,67.37892150878906,34.179901123046875,0.45977347927175116,44.261749267578125,4459.0
gru,44.0,PM2.5,24,76.73651123046875,42.002689361572266,0.44386722921586963,44.550697326660156,4569.0
gru,44.0,PM2.5,72,80.09394073486328,47.23929214477539,0.394595449491425,50.22722625732422,4566.0
gru,44.0,PM10,6,83.48313903808594,48.77473068237305,0.5177103370639358,43.26129150390625,3707.0
gru,44.0,PM10,24,110.71073913574219,72.4625015258789,0.515479197976833,45.4591178894043,3807.0
gru,44.0,PM10,72,120.27049255371094,80.52265167236328,0.4295041413308349,49.72681427001953,3797.0
gru,44.0,NO2,6,13.313776016235352,5.0763750076293945,0.634530197405818,83.10755157470703,3702.0
gru,44.0,NO2,24,15.63138198852539,6.12687873840332,0.5945185021992454,73.95418548583984,3819.0
gru,44.0,NO2,72,16.97772979736328,6.940070629119873,0.5132258822001722,76.57855224609375,3817.0
gru,44.0,O3,6,12.18163776397705,6.297985553741455,0.5194540981690476,77.115478515625,3633.0
gru,44.0,O3,24,15.24893569946289,7.437862396240234,0.36085483294112675,76.17303466796875,3639.0
gru,44.0,O3,72,16.15346336364746,8.138151168823242,0.26989406729689414,81.72520446777344,3633.0
